alt_files,brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,scrapfly,source,thumb_urls,thumbs,type,url,video
,Audizio,,https://www.tronios.com/media/custom/upload/102.173 RP315 Record Player HQ_manual_V1.2.pdf,,RP315,,Home Audio,en,,,audizio.com,https://www.audizio.com/wp-content/uploads/2021/08/102173_side2_2.jpg,,Manual,https://www.audizio.com/product/rp315-record-player-hq-black/,
,Audizio,,https://www.tronios.com/media/custom/upload/102.178_102.179 Series RP330 Set Record Player + Speakers BT_manual_V1.2.pdf,,RP330D,,Home Audio,en,,,audizio.com,https://www.audizio.com/wp-content/uploads/2021/09/102179_record-player-with-speakers-1.jpg,,Manual,https://www.audizio.com/product/rp330d-record-player-hq-with-speakers-dark-wood/,
,Audizio,,https://www.tronios.com/media/custom/upload/102.170_102.171 RP310 Record Player HQ_manual_V1.4.pdf,,RP310S,,Home Audio,en,,,audizio.com,https://www.audizio.com/wp-content/uploads/2021/12/102171_side3.jpg,,Manual,https://www.audizio.com/product/rp310s-record-player-with-usb-silver/,
,Audizio,,https://www.tronios.com/media/custom/upload/102.060_102.064_102.065 RP113 Series Record Player_manual_V1.0.pdf,,RP113B,,Home Audio,en,,,audizio.com,https://www.audizio.com/wp-content/uploads/2023/11/102065_side4.jpg,,Manual,https://www.audizio.com/product/rp113b-record-player-with-bt-in-out-black/,
,Audizio,,https://www.tronios.com/media/custom/upload/102.170_102.171 RP310 Record Player HQ_manual_V1.4.pdf,,RP310,,Home Audio,en,,,audizio.com,https://www.audizio.com/wp-content/uploads/2021/04/102170_side1.jpg,,Manual,https://www.audizio.com/product/rp310-record-player-with-usb-black/,
,Audizio,,https://www.tronios.com/media/custom/upload/102.200 Frisco Retro_manual_V1.4.pdf,,Frisco,,DAB+ Radios,en,,,audizio.com,https://www.audizio.com/wp-content/uploads/2023/09/102200_side1_1.jpg,,Manual,https://www.audizio.com/product/frisco-retro-record-player-dab-radio/,
,Audizio,,https://www.tronios.com/media/custom/upload/102.060_102.064_102.065 RP113 Series Record Player_manual_V1.0.pdf,,RP113C,,Home Audio,en,,,audizio.com,https://www.audizio.com/wp-content/uploads/2023/10/102064_side4.jpg,,Manual,https://www.audizio.com/product/rp113c-record-player-with-bt-in-out-cream/,
,Audizio,,https://www.tronios.com/media/custom/upload/102.060_102.064_102.065 RP113 Series Record Player_manual_V1.0.pdf,,RP113D,,Home Audio,en,,,audizio.com,https://www.audizio.com/wp-content/uploads/2023/10/102060_side4.jpg,,Manual,https://www.audizio.com/product/rp113d-record-player-with-bt-in-out-dark-blue/,
,Audizio,,https://www.tronios.com/media/custom/upload/102.231_102.232_102.234 Bari Wifi DAB Radio_manual_V1.2.pdf,,Bari,,DAB+ Radios,en,,,audizio.com,https://www.audizio.com/wp-content/uploads/2021/04/102234_bari_thumb.png,,Manual,https://www.audizio.com/product/bari-wifi-internet-stereo-radio-with-dab-wood/,
,Audizio,,https://www.tronios.com/media/custom/upload/102.231_102.232_102.234 Bari Wifi DAB Radio_manual_V1.2.pdf,,Bari,,DAB+ Radios,en,,,audizio.com,https://www.audizio.com/wp-content/uploads/2021/04/102232_bari_thumb.png,,Manual,https://www.audizio.com/product/bari-wifi-internet-stereo-radio-with-dab-black/,
